Battery,Car_name,Car_name_link,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
90.0,NIO ET5 Tour,https://ev-d,186,500.0,68500.0,485,200,4.0
79.0,Polestar 2 L,https://ev-d,176,670.0,65275.0,450,205,4.2
66.5,Mercedes EQB,https://ev-d,193,500.0,55519.0,345,160,8.0
101.0,Volvo EX90 S,https://ev-d,220,600.0,0.0,460,180,8.4
45.0,Nissan Towns,https://ev-d,200,230.0,39990.0,225,132,12.6
59.3,ORA Funky Ca,https://ev-d,174,240.0,44490.0,340,160,8.2
89.0,Mercedes EQE,https://ev-d,173,650.0,70995.0,515,210,6.4
89.0,Audi Q8 e-tr,https://ev-d,200,690.0,76650.0,445,200,6.0
37.3,Fiat 500e 3+,https://ev-d,159,390.0,36990.0,235,150,9.0
77.0,Audi Q4 e-tr,https://ev-d,195,590.0,54950.0,395,180,6.6
70.5,NIO ET5 75 k,https://ev-d,178,530.0,59500.0,395,200,4.0
37.0,Mini Cooper ,https://ev-d,157,360.0,0.0,235,160,7.3
74.0,Genesis GV70,https://ev-d,211,860.0,67300.0,350,235,4.2
66.5,Mercedes EQB,https://ev-d,193,500.0,58197.0,345,160,6.2
73.0,Peugeot e-30,https://ev-d,190,440.0,0.0,385,180,6.0
108.4,Mercedes EQS,https://ev-d,203,800.0,155009.0,535,250,3.4
70.5,NIO ET5 Tour,https://ev-d,183,520.0,59500.0,385,200,4.0
90.6,Mercedes EQE,https://ev-d,208,550.0,89548.0,435,210,6.6
77.0,Audi Q4 Spor,https://ev-d,186,620.0,61000.0,415,180,5.4
77.0,Skoda Enyaq ,https://ev-d,177,650.0,61050.0,435,180,5.5
82.5,Genesis G80 ,https://ev-d,188,880.0,69200.0,440,225,4.9
58.0,CUPRA Born 1,https://ev-d,168,460.0,40750.0,345,160,6.6
71.0,Porsche Tayc,https://ev-d,169,1030.0,93139.0,420,230,5.4
108.4,Mercedes EQS,https://ev-d,221,730.0,124545.0,490,210,5.2
46.3,Peugeot e-20,https://ev-d,160,460.0,0.0,290,150,9.0
27.0,e.Go e.wave ,https://ev-d,180,0.0,24990.0,150,135,12.0
45.0,Mercedes EQT,https://ev-d,200,230.0,49445.0,225,132,12.6
72.6,Ford Mustang,https://ev-d,207,430.0,0.0,350,180,6.2
64.0,Lexus UX 300,https://ev-d,188,170.0,0.0,340,160,7.5
108.4,Mercedes EQS,https://ev-d,184,880.0,125378.0,590,210,4.8
83.7,Porsche Tayc,https://ev-d,174,1180.0,120081.0,480,250,4.0
90.6,Mercedes EQE,https://ev-d,179,750.0,88215.0,505,210,4.7
83.7,Porsche Tayc,https://ev-d,190,1080.0,103254.0,440,220,5.1
81.0,Elaris BEO 8,https://ev-d,208,290.0,53090.0,390,150,8.0
108.4,Mercedes EQS,https://ev-d,221,730.0,114609.0,490,210,6.0
87.0,Nissan Ariya,https://ev-d,215,480.0,71490.0,405,200,5.1
68.0,Opel Vivaro-,https://ev-d,257,290.0,56942.0,265,130,13.3
76.6,Audi Q4 Spor,https://ev-d,192,570.0,0.0,400,180,6.2
59.3,ORA Funky Ca,https://ev-d,180,230.0,49490.0,330,160,8.2
90.6,Mercedes EQE,https://ev-d,201,570.0,83479.0,450,210,7.6
106.0,Audi SQ8 e-t,https://ev-d,221,610.0,98050.0,480,210,4.5
77.0,Audi Q4 Spor,https://ev-d,186,620.0,56950.0,415,180,6.6
82.7,XPENG P7 AWD,https://ev-d,180,640.0,0.0,460,200,4.1
62.0,Smart #1 Pul,https://ev-d,194,490.0,46490.0,320,180,3.9
46.3,Toyota Proac,https://ev-d,220,330.0,37800.0,210,135,11.2
58.0,Skoda Enyaq ,https://ev-d,163,480.0,0.0,355,160,8.8
37.3,Fiat 500e Ca,https://ev-d,162,380.0,37990.0,230,150,9.0
90.6,Mercedes EQE,https://ev-d,218,620.0,124920.0,415,210,4.3
68.0,Toyota PROAC,https://ev-d,257,290.0,64530.0,265,130,13.1
46.3,Toyota Proac,https://ev-d,226,330.0,40150.0,205,135,11.2
71.0,Porsche Tayc,https://ev-d,171,1020.0,114559.0,415,250,4.0
87.7,VinFast VF 8,https://ev-d,206,550.0,52990.0,425,200,5.9
90.6,Mercedes EQE,https://ev-d,195,690.0,104756.0,465,210,4.2
66.5,Mercedes EQA,https://ev-d,187,510.0,53520.0,355,160,7.7
21.3,Fiat 500e 3+,https://ev-d,158,230.0,0.0,135,135,9.0
46.3,Citroen e-Sp,https://ev-d,250,290.0,53640.0,185,130,12.1
37.8,Abarth 500e ,https://ev-d,168,370.0,37990.0,225,155,7.0
90.6,Mercedes EQE,https://ev-d,221,610.0,139438.0,410,240,3.5
68.0,Opel Zafira-,https://ev-d,262,280.0,70075.0,260,130,13.3
60.0,Aiways U6,https://ev-d,171,430.0,47588.0,350,160,7.0
68.0,Toyota PROAC,https://ev-d,262,280.0,65385.0,260,130,13.1
70.5,NIO EL6 75 k,https://ev-d,201,470.0,65500.0,350,200,4.5
39.2,Kia e-Soul 3,https://ev-d,170,200.0,0.0,230,157,9.9
46.3,Opel Combo-e,https://ev-d,226,330.0,43050.0,205,135,11.7
68.0,Citroen e-Ju,https://ev-d,257,290.0,57940.0,265,130,13.3
90.6,Mercedes EQE,https://ev-d,195,690.0,110706.0,465,220,3.5
90.0,Mercedes eVi,https://ev-d,295,310.0,65140.0,305,160,12.0
83.7,Porsche Tayc,https://ev-d,188,1090.0,164420.0,445,260,3.2
68.0,Peugeot e-Ex,https://ev-d,257,290.0,57940.0,265,130,14.3
46.3,Peugeot e-Ri,https://ev-d,226,330.0,41240.0,205,135,11.7
68.0,Peugeot e-Tr,https://ev-d,262,280.0,60430.0,260,130,14.3
74.0,Genesis GV60,https://ev-d,195,990.0,63200.0,380,200,5.5
83.7,Porsche Tayc,https://ev-d,190,1080.0,119914.0,440,240,4.1
87.7,VinFast VF 8,https://ev-d,206,550.0,58890.0,425,200,5.5
71.0,Porsche Tayc,https://ev-d,187,930.0,94091.0,380,230,5.4
60.0,Mercedes EQV,https://ev-d,286,200.0,68056.0,210,160,12.0
90.0,Mercedes EQV,https://ev-d,290,310.0,72519.0,310,160,12.1
60.0,Mercedes eVi,https://ev-d,286,310.0,60678.0,210,160,12.0
37.8,Abarth 500e ,https://ev-d,168,370.0,40990.0,225,155,7.0
74.0,Genesis GV60,https://ev-d,203,950.0,73100.0,365,235,4.0
28.9,Mini Cooper ,https://ev-d,175,230.0,0.0,165,150,8.2
68.0,Citroen e-Sp,https://ev-d,257,290.0,59640.0,265,130,13.3
70.5,NIO EL7 75 k,https://ev-d,207,460.0,85900.0,340,200,3.9
68.0,Peugeot e-Tr,https://ev-d,257,290.0,59640.0,265,130,14.3
46.3,Peugeot e-Tr,https://ev-d,250,290.0,53640.0,185,130,13.1
83.7,Porsche Tayc,https://ev-d,197,1050.0,140858.0,425,250,3.7
83.7,Porsche Tayc,https://ev-d,197,1050.0,165848.0,425,250,3.3
68.0,Peugeot e-Ex,https://ev-d,262,280.0,58730.0,260,130,14.3
68.0,Fiat E-Ulyss,https://ev-d,262,280.0,62990.0,260,130,13.3
46.3,Citroen e-Sp,https://ev-d,257,290.0,54430.0,180,130,12.1
83.7,Porsche Tayc,https://ev-d,204,1010.0,199168.0,410,250,2.9
46.3,Citroen e-Be,https://ev-d,226,330.0,43640.0,205,135,11.7
21.3,Fiat 500e Ca,https://ev-d,158,230.0,35490.0,135,135,9.0
83.7,Porsche Tayc,https://ev-d,188,1090.0,99815.0,445,230,5.4
68.0,Toyota PROAC,https://ev-d,257,290.0,0.0,265,130,13.1
46.3,Toyota PROAC,https://ev-d,257,290.0,0.0,180,130,12.1
83.7,Porsche Tayc,https://ev-d,212,970.0,198692.0,395,260,2.8
68.0,Citroen e-Sp,https://ev-d,262,280.0,60430.0,260,130,13.3
46.3,Citroen e-Ju,https://ev-d,250,290.0,51940.0,185,130,12.1
46.3,Opel Zafira-,https://ev-d,250,290.0,63250.0,185,130,12.1
68.0,Toyota PROAC,https://ev-d,262,280.0,0.0,260,130,13.1
68.0,Citroen e-Ju,https://ev-d,262,280.0,58730.0,260,130,13.3
83.7,Porsche Tayc,https://ev-d,195,1060.0,120081.0,430,250,4.0
46.3,Opel Combo-e,https://ev-d,232,320.0,44750.0,200,135,11.7
46.3,Toyota PROAC,https://ev-d,250,290.0,0.0,185,130,12.1
71.0,Porsche Tayc,https://ev-d,192,910.0,114559.0,370,250,4.0
46.3,Peugeot e-Ex,https://ev-d,250,290.0,51940.0,185,130,13.1
60.0,Mercedes eVi,https://ev-d,293,300.0,61571.0,205,160,12.0
46.3,Peugeot e-Tr,https://ev-d,250,290.0,54430.0,185,130,13.1
